UE ID,Position,Tile,Active,Inner Region,BS ID,Moving,Generator,Cluster
1,"(3.5163542077997985, 0.18269373791519553)",4900,True,False,752292372.0,False,,3
2,"(11.678160655678877, 6.044020188535777)",164347,True,False,752291521.0,False,,2
3,"(7.021269509565767, 3.5564251558055613)",96840,True,False,752290441.0,False,,1
4,"(13.685177298903952, 6.212464230424089)",169187,True,False,752291450.0,False,,4
5,"(12.588333171068825, 5.441487254277192)",148063,True,False,752290396.0,False,,4
6,"(0.30104008083388306, 2.0930369270683506)",56452,True,False,752291981.0,False,,3
7,"(12.251549275174485, 7.836707214191822)",213330,True,False,752291269.0,False,,2
8,"(0.6956917783892299, 4.56128038283196)",123787,True,False,752292067.0,False,,3
9,"(8.828727243719207, 7.6246258461251495)",207073,True,False,752290279.0,False,,2
10,"(6.397232136551857, 3.769282840830625)",102255,True,False,752292450.0,False,,1
11,"(4.13528779007248, 9.129596143172233)",248365,True,False,752291468.0,False,,0
12,"(2.3985352795354626, 7.138308778162928)",193895,True,False,752292421.0,False,,0
13,"(3.4213088865096877, 8.958552375143986)",243576,True,False,752290328.0,False,,0
14,"(5.108382207926987, 4.774638512016851)",129404,True,False,752290063.0,False,,0
15,"(5.388045826212371, 4.378517385596519)",119215,True,False,752291565.0,False,,3
16,"(9.230491866949867, 6.9870486069848186)",190089,True,False,752290388.0,False,,2
17,"(1.5510617727622102, 8.161563349634458)",221742,True,True,752292421.0,False,,0
18,"(8.785473521052003, 8.944483406632989)",243111,True,False,752290459.0,False,,2
19,"(5.883873549112231, 3.02456371903849)",81835,True,False,752290075.0,False,,3
20,"(10.779519247982522, 7.389774667124203)",201031,True,False,752290403.0,False,,2
21,"(4.5772424824252065, 1.9683465995998497)",53223,True,False,752292179.0,False,,3
22,"(13.899868842201549, 5.045478465943791)",137235,True,False,752290275.0,False,,4
23,"(14.538892588518008, 1.6621185339349924)",45461,True,False,752291153.0,False,,4
24,"(12.89587574903167, 3.2233993521177684)",87555,True,False,752290198.0,False,,4
25,"(3.7247301631449523, 8.634913480689113)",234748,True,False,752290328.0,False,,0
26,"(6.049772936869863, 1.353898156304346)",36961,True,False,752291916.0,False,,3
27,"(15.381338744398297, 5.827225403118348)",159055,True,True,752291450.0,False,,4
28,"(5.581793462912112, 5.494198438790451)",149143,True,False,752292280.0,False,,0
29,"(15.971323108954463, 1.1194723161275644)",30558,True,False,752292714.0,False,,4
