id,x,y
0752290181,5.855,8.834
0752290285,8.425,2.193
0752290316,7.14,8.773
0752290341,7.732,8.865
0752290284,9.2,2.224
0752290459,8.731,8.865
0752290406,8.405,1.823
0752290281,8.629,8.247
0752291174,9.098,1.854
0752291529,7.548,8.186
0752291392,6.589,8.341
0752290435,7.711,1.421
0752291189,6.018,8.247
0752290195,8.263,1.514
0752290259,6.222,7.722
0752292040,1.428,3.398
0752290212,8.629,1.42
0752290220,6.732,7.816
0752291904,7.773,4.325
0752290378,9.364,1.514
0752290400,9.752,1.451
0752290315,7.671,7.784
0752290370,11.281,0.803
0752291469,8.282,7.846
0752290357,7.527,1.081
0752291175,10.383,6.301
0752290470,8.16,6.148
0752290194,10.607,0.864
0752290437,7.059,0.464
0752290349,10.588,7.074
0752290340,7.385,0.494
0752291520,8.099,0.37
0752290168,9.221,4.973
0752290364,8.507,0.742
0752290444,9.017,4.108
0752290048,1.735,3.243
0752290452,6.507,5.591
0752290346,9.935,0.278
0752290221,8.425,6.518
0752290367,3.366,2.04
0752291173,3.692,4.819
0752290173,8.854,5.406
0752291165,9.18,6.271
0752291283,8.792,6.919
0752290239,6.528,0.926
0752290497,8.793,6.363
0752290380,4.876,1.02
0752290227,9.2,5.9
0752291214,4.672,1.359
0752290215,8.221,4.665
0752290131,0.694,6.116
0752290439,5.141,1.328
0752290277,5.855,1.421
0752290253,9.792,6.58
0752290494,6.589,1.236
0752290301,10.016,6.888
0752290163,7.649,5.498
0752291951,9.037,1.112
0752290217,7.303,5.158
0752290440,2.816,2.316
0752290343,4.019,2.255
0752290322,4.141,1.668
0752291570,4.508,2.193
0752290240,5.345,1.884
0752290184,11.73,7.877
0752291213,1.122,5.529
0752290415,5.1,2.254
0752291974,13.118,2.718
0752290493,2.142,2.348
0752290260,11.506,7.569
0752290418,7.406,0.061
0752290185,11.546,7.074
0752291463,11.138,6.518
0752290178,2.611,2.626
0752290271,2.877,3.058
0752292047,7.323,3.49
0752290363,12.525,6.549
0752290262,3.407,2.966
0752290190,10.955,6.209
0752290456,3.488,2.626
0752291521,11.465,6.271
0752291437,7.079,1.576
0752291061,7.262,2.038
0752291386,7.201,2.255
0752290313,10.445,5.868
0752290351,6.507,2.131
0752290289,11.383,5.776
0752290237,5.733,2.409
0752290384,12.852,5.962
0752290208,5.202,2.966
0752291308,10.405,5.406
0752290489,11.159,4.85
0752290241,4.753,3.058
0752290210,4.284,2.996
0752291516,4.61,3.336
0752290167,9.629,4.942
0752290358,4.528,2.657
0752290028,10.017,4.942
0752290206,3.775,3.058
0752290290,10.812,4.787
0752290487,6.671,3.088
0752291927,12.628,5.034
0752290422,6.794,2.688
0752290275,13.158,5.097
0752290374,8.629,9.237
0752290342,7.038,3.15
0752290166,9.385,4.542
0752290402,11.485,4.572
0752290366,8.405,2.872
0752290377,4.652,5.807
0752291907,9.547,4.139
0752291527,1.816,2.657
0752290348,10.22,4.139
0752291531,10.812,8.402
0752291060,4.978,5.684
0752290376,10.588,4.047
0752290214,2.0,2.904
0752291499,11.199,4.139
0752290475,2.367,2.934
0752291979,11.567,4.231
0752290398,12.832,4.263
0752292041,4.345,1.081
0752292515,7.303,5.623
0752291177,2.102,3.244
0752292084,2.611,4.077
0752291034,3.101,3.861
0752291573,11.016,3.768
0752290276,12.382,3.83
0752292059,10.384,0.308
0752290417,4.244,3.738
0752291220,4.754,3.8
0752291153,15.238,1.915
0752290258,11.322,3.521
0752292437,7.527,5.776
0752290228,11.791,3.398
0752291938,8.119,4.016
0752290158,15.953,0.34
0752290375,9.221,0.185
0752290381,13.158,3.583
0752290338,3.223,4.233
0752291033,10.608,3.058
0752290320,2.448,4.479
0752290250,11.363,3.027
0752290198,12.974,3.027
0752290473,3.387,4.509
0752291278,2.672,5.591
0752290223,11.403,2.626
0752290188,12.321,2.533
0752291065,1.53,2.811
0752292550,8.263,5.375
0752291179,4.876,4.603
0752290347,10.669,2.316
0752291417,3.325,4.88
0752290270,12.423,2.038
0752290429,2.733,5.251
0752290326,11.199,1.544
0752291590,4.019,5.22
0752291344,16.381,0.0
0752291049,4.427,5.158
0752292370,6.059,6.116
0752292386,8.547,4.757
0752291526,3.305,5.621
0752292532,7.813,3.83
0752292046,3.529,6.148
0752292554,7.508,3.953
0752290305,3.815,6.209
0752291044,4.243,6.116
0752290280,9.343,8.772
0752291429,5.079,6.116
0752290345,8.711,7.969
0752290244,5.61,6.209
0752290282,7.956,7.227
0752290362,7.344,7.352
0752290254,6.12,6.826
0752291062,3.916,6.58
0752290165,6.631,6.919
0752290300,7.099,6.888
0752290390,4.345,6.827
0752290011,7.711,6.919
0752290450,7.956,6.424
0752291190,6.099,7.538
0752292514,8.487,5.128
0752290334,5.325,7.228
0752290382,6.181,6.054
0752292537,8.364,5.406
0752290327,4.611,7.228
0752291441,7.242,6.24
0752290255,4.162,7.258
0752290354,9.689,8.278
0752290332,8.608,3.428
0752290182,10.363,8.372
0752292556,7.12,2.718
0752292627,8.282,5.714
0752290472,8.038,3.768
0752290392,9.323,7.908
0752290476,7.65,3.707
0752291494,9.976,7.938
0752290236,7.058,3.83
0752290461,10.444,7.815
0752292553,7.079,2.996
0752291889,6.242,3.522
0752292567,6.997,2.965
0752290329,6.814,4.17
0752290279,9.058,7.505
0752290266,6.405,4.881
0752290469,10.444,7.444
0752292541,6.712,2.904
0752291595,7.588,4.077
0752290438,8.282,4.046
0752292548,6.773,3.089
0752292557,6.079,2.78
0752292379,6.609,6.085
0752292368,6.59,6.457
0752292378,6.854,6.27
0752292009,5.814,5.869
0752292561,6.671,6.178
0752292507,6.222,6.146
0752292448,7.242,5.406
0752290328,3.856,7.599
0752292383,6.875,5.406
0752292568,7.854,6.146
0752292066,5.427,8.155
0752290050,8.834,4.447
0752290098,12.464,6.95
0752290495,11.975,2.162
0752290092,10.322,6.58
0752290019,7.221,4.17
0752291212,12.322,6.023
0752290135,7.222,8.371
0752290068,8.058,6.858
0752290031,6.405,5.838
0752291145,11.26,8.989
0752292057,11.506,1.051
0752290005,11.608,5.437
0752290431,11.791,3.799
0752290045,9.465,7.475
0752290099,11.648,6.672
0752290107,9.221,8.309
0752290038,6.507,8.649
0752291178,8.405,6.054
0752291387,9.874,9.02
0752291166,12.179,2.996
0752290057,8.058,5.159
0752290018,8.691,7.258
0752290079,6.406,7.383
0752290474,9.914,5.868
0752290012,7.956,8.217
0752291954,17.014,0.957
0752290122,10.444,3.769
0752290451,6.895,6.518
0752290344,7.12,4.603
0752290093,11.016,7.722
0752290148,12.566,1.545
0752292393,7.793,3.83
0752292018,15.157,2.935
0752291508,10.262,9.298
0752292138,8.731,4.386
0942290048,13.179,2.038
0752292226,6.345,5.19
0752292369,4.386,6.641
0752292560,9.71,0.648
0752292358,4.489,6.487
0752292571,2.509,2.502
0752292572,9.424,4.386
0752292367,4.569,6.704
0752292562,6.936,1.267
0752292528,9.812,4.263
0752292048,10.159,9.205
0752291146,12.341,1.328
0752291269,11.954,8.031
0752292513,9.038,6.424
0752291650,3.468,6.919
0752292517,8.078,6.24
0752292546,7.486,4.294
0752292558,8.813,6.549
0752292450,6.67,3.769
0752292595,6.651,3.614
0752292549,8.589,6.085
0752292526,9.017,6.085
0752290286,7.853,2.996
0752290511,2.081,3.738
0752290219,8.813,2.193
0752292521,8.405,3.614
0752290202,4.732,6.95
0752290139,6.65,1.822
0752290453,6.08,4.726
0752291659,7.956,1.73
0752290063,5.141,4.881
0752292620,10.751,2.502
0752290052,8.241,0.926
0752292417,11.22,1.76
0752290010,4.671,5.623
0752292216,10.2,3.027
0752291415,3.835,4.665
0752292155,8.303,4.726
0752292096,7.384,5.375
0752290512,3.978,2.657
0752292279,10.465,1.328
0752290089,5.1,3.46
0752290424,5.202,7.074
0752292224,5.876,5.529
0752290042,2.448,3.769
0752292459,5.936,7.29
0752290420,3.876,3.367
0752292021,11.852,3.46
0752290119,3.51,3.366
