id,latitude,longitude
0752290181,48.89722,2.31305
0752290285,48.8375,2.34805
0752290316,48.89667,2.33056
0752290341,48.8975,2.33861
0752290284,48.83778,2.35861
0752290459,48.8975,2.35222
0752290406,48.83417,2.34778
0752290281,48.89194,2.35083
0752291174,48.83445,2.35722
0752291529,48.89139,2.33611
0752291392,48.89278,2.32305
0752290435,48.83056,2.33833
0752291189,48.89194,2.31528
0752290195,48.83139,2.34584
0752290259,48.88722,2.31805
0752292040,48.84834,2.25278
0752290212,48.83055,2.35083
0752290220,48.88806,2.325
0752291904,48.85667,2.33917
0752290378,48.83139,2.36084
0752290400,48.83083,2.36612
0752290315,48.88778,2.33778
0752290370,48.825,2.38694
0752291469,48.88833,2.3461
0752290357,48.8275,2.33583
0752291175,48.87444,2.37472
0752290470,48.87306,2.34444
0752290194,48.82555,2.37777
0752290437,48.82195,2.32945
0752290349,48.88139,2.3775
0752290340,48.82222,2.33389
0752291520,48.82111,2.34361
0752290168,48.8625,2.35889
0752290364,48.82445,2.34917
0752290444,48.85472,2.35611
0752290048,48.84694,2.25695
0752290452,48.86806,2.32194
0752290346,48.82028,2.36861
0752290221,48.87639,2.34805
0752290367,48.83612,2.27917
0752291173,48.86111,2.28361
0752290173,48.86639,2.35389
0752291165,48.87417,2.35833
0752291283,48.88,2.35305
0752290239,48.82611,2.32222
0752290497,48.875,2.35306
0752290380,48.82695,2.29972
0752290227,48.87083,2.35861
0752291214,48.83,2.29695
0752290215,48.85973,2.34528
0752290131,48.87278,2.24278
0752290439,48.82972,2.30333
0752290277,48.83056,2.31306
0752290253,48.87695,2.36667
0752290494,48.82889,2.32305
0752290301,48.87972,2.36972
0752290163,48.86722,2.33749
0752291951,48.82778,2.35639
0752290217,48.86416,2.33278
0752290440,48.83861,2.27167
0752290343,48.83806,2.28805
0752290322,48.83278,2.28972
0752291570,48.8375,2.29472
0752290240,48.83472,2.30611
0752290184,48.88861,2.39306
0752291213,48.8675,2.24861
0752290415,48.83805,2.30278
0752291974,48.84222,2.41195
0752290493,48.83889,2.2625
0752290260,48.88584,2.39001
0752290418,48.81833,2.33417
0752290185,48.88139,2.39055
0752291463,48.87639,2.385
0752290178,48.84139,2.26889
0752290271,48.84528,2.2725
0752292047,48.84916,2.33305
0752290363,48.87667,2.40388
0752290262,48.84445,2.27972
0752290190,48.87361,2.3825
0752290456,48.84139,2.28083
0752291521,48.87417,2.38945
0752291437,48.83195,2.32973
0752291061,48.83611,2.33222
0752291386,48.83806,2.33139
0752290313,48.87055,2.37556
0752290351,48.83694,2.32194
0752290289,48.86972,2.38833
0752290237,48.83944,2.31139
0752290384,48.87139,2.40833
0752290208,48.84445,2.30417
0752291308,48.86639,2.37501
0752290489,48.86139,2.38528
0752290241,48.84528,2.29805
0752290210,48.84472,2.29167
0752291516,48.84778,2.29611
0752290167,48.86222,2.36444
0752290358,48.84167,2.29499
0752290028,48.86222,2.36973
0752290206,48.84528,2.28473
0752290290,48.86083,2.38055
0752290487,48.84555,2.32417
0752291927,48.86305,2.40528
0752290422,48.84195,2.32584
0752290275,48.86361,2.4125
0752290374,48.90084,2.35083
0752290342,48.84611,2.32916
0752290166,48.85862,2.36112
0752290402,48.85889,2.38972
0752290366,48.84361,2.34778
0752290377,48.87,2.29667
0752291907,48.855,2.36333
0752291527,48.84167,2.25806
0752290348,48.855,2.3725
0752291531,48.89333,2.38056
0752291060,48.86889,2.30112
0752290376,48.85417,2.3775
0752290214,48.84389,2.26056
0752291499,48.855,2.38583
0752290475,48.84416,2.26556
0752291979,48.85583,2.39083
0752290398,48.85611,2.40806
0752292041,48.8275,2.2925
0752292515,48.86834,2.33278
0752291177,48.84695,2.26195
0752292084,48.85444,2.26889
0752291034,48.8525,2.27555
0752291573,48.85166,2.38333
0752290276,48.85222,2.40194
0752292059,48.82055,2.37473
0752290417,48.85139,2.29112
0752291220,48.85195,2.29806
0752291153,48.835,2.44083
0752290258,48.84944,2.3875
0752292437,48.86972,2.33583
0752290228,48.84834,2.39389
0752291938,48.85389,2.34389
0752290158,48.82084,2.45056
0752290375,48.81944,2.35889
0752290381,48.85,2.4125
0752290338,48.85584,2.27722
0752291033,48.84528,2.37778
0752290320,48.85806,2.26667
0752290250,48.845,2.38806
0752290198,48.845,2.41
0752290473,48.85833,2.27945
0752291278,48.86806,2.26972
0752290223,48.84139,2.3886
0752290188,48.84056,2.40111
0752291065,48.84306,2.25417
0752292550,48.86611,2.34584
0752291179,48.85917,2.29972
0752290347,48.83861,2.37861
0752291417,48.86166,2.27861
0752290270,48.83611,2.40249
0752290429,48.865,2.27055
0752290326,48.83166,2.38583
0752291590,48.86472,2.28806
0752291344,48.81778,2.45639
0752291049,48.86416,2.29361
0752292370,48.87278,2.31583
0752292386,48.86056,2.34972
0752291526,48.86833,2.27833
0752292532,48.85222,2.33972
0752292046,48.87306,2.28139
0752292554,48.85333,2.33556
0752290305,48.87361,2.28528
0752291044,48.87278,2.29111
0752290280,48.89666,2.36055
0752291429,48.87278,2.30249
0752290345,48.88944,2.35194
0752290244,48.87361,2.30972
0752290282,48.88277,2.34166
0752290362,48.88389,2.33333
0752290254,48.87916,2.31667
0752291062,48.87695,2.28666
0752290165,48.88,2.32362
0752290300,48.87972,2.33
0752290390,48.87917,2.2925
0752290011,48.88,2.33833
0752290450,48.87555,2.34167
0752291190,48.88556,2.31638
0752292514,48.86389,2.34889
0752290334,48.88278,2.30584
0752290382,48.87222,2.3175
0752292537,48.86639,2.34722
0752290327,48.88278,2.29612
0752291441,48.87389,2.33194
0752290255,48.88305,2.29
0752290354,48.89222,2.36527
0752290332,48.84861,2.35055
0752290182,48.89306,2.37444
0752292556,48.84222,2.33028
0752292627,48.86916,2.34611
0752290472,48.85166,2.34278
0752290392,48.88889,2.36028
0752290476,48.85111,2.3375
0752291494,48.88916,2.36917
0752290236,48.85222,2.32944
0752290461,48.88805,2.37555
0752292553,48.84472,2.32973
0752291889,48.84945,2.31833
0752292567,48.84444,2.32861
0752290329,48.85528,2.32612
0752290279,48.88527,2.35667
0752290266,48.86167,2.32055
0752290469,48.88472,2.37555
0752292541,48.84389,2.32472
0752291595,48.85444,2.33666
0752290438,48.85416,2.34611
0752292548,48.84556,2.32556
0752292557,48.84278,2.31611
0752292379,48.8725,2.32333
0752292368,48.87584,2.32306
0752292378,48.87416,2.32666
0752292009,48.87056,2.3125
0752292561,48.87333,2.32417
0752292507,48.87305,2.31806
0752292448,48.86639,2.33194
0752290328,48.88611,2.28583
0752292383,48.86639,2.32694
0752292568,48.87305,2.34028
0752292066,48.89111,2.30723
0752290050,48.85777,2.35362
0752290098,48.88028,2.40305
0752290495,48.83722,2.39639
0752290092,48.87695,2.37388
0752290019,48.85528,2.33166
0752291212,48.87194,2.40112
0752290135,48.89305,2.33167
0752290068,48.87945,2.34305
0752290031,48.87028,2.32055
0752291145,48.89861,2.38666
0752292057,48.82723,2.39
0752290005,48.86667,2.39139
0752290431,48.85194,2.39389
0752290045,48.885,2.36222
0752290099,48.87778,2.39194
0752290107,48.8925,2.35889
0752290038,48.89555,2.32194
0752291178,48.87222,2.34778
0752291387,48.89889,2.36778
0752291166,48.84472,2.39917
0752290057,48.86417,2.34305
0752290018,48.88305,2.35167
0752290079,48.88417,2.32056
0752290474,48.87055,2.36833
0752290012,48.89167,2.34167
0752291954,48.82639,2.46501
0752290122,48.85167,2.37555
0752290451,48.87639,2.32722
0752290344,48.85917,2.33028
0752290093,48.88722,2.38333
0752290148,48.83167,2.40444
0752292393,48.85222,2.33944
0752292018,48.84417,2.43972
0752291508,48.90139,2.37306
0752292138,48.85722,2.35222
0942290048,48.83611,2.41278
0752292226,48.86445,2.31973
0752292369,48.8775,2.29305
0752292560,48.82361,2.36555
0752292358,48.87611,2.29445
0752292571,48.84028,2.2675
0752292572,48.85722,2.36166
0752292367,48.87806,2.29555
0752292562,48.82917,2.32778
0752292528,48.85611,2.36694
0752292048,48.90055,2.37166
0752291146,48.82972,2.40138
